,is_goal,x,y,shot_body_part,shot_type,play_pattern
33228,0,115.0,25.3,Left Foot,Open Play,From Goal Kick
33229,0,98.9,30.0,Right Foot,Open Play,From Free Kick
33230,0,101.9,51.9,Left Foot,Open Play,From Goal Kick
36606,0,107.9,56.1,Right Foot,Open Play,Regular Play
36607,0,108.5,57.2,Right Foot,Open Play,Regular Play
36608,0,115.2,51.6,Head,Open Play,From Corner
36609,0,104.8,39.5,Right Foot,Open Play,Regular Play
36610,0,105.6,27.4,Left Foot,Open Play,Regular Play
36611,1,112.5,39.6,Right Foot,Open Play,Regular Play
36612,0,103.4,32.8,Left Foot,Open Play,From Counter
36613,0,112.0,45.9,Head,Open Play,From Corner
36614,0,88.2,53.1,Right Foot,Open Play,Regular Play
36615,1,111.7,44.8,Right Foot,Open Play,From Free Kick
36616,0,118.8,43.7,Head,Open Play,Regular Play
36617,0,109.4,22.1,Right Foot,Open Play,From Goal Kick
36618,0,103.7,46.7,Left Foot,Open Play,From Free Kick
36619,0,90.1,49.4,Right Foot,Open Play,From Free Kick
36620,0,98.6,54.4,Right Foot,Open Play,Regular Play
36621,0,100.9,49.3,Right Foot,Open Play,Regular Play
36622,1,112.9,42.5,Right Foot,Open Play,Regular Play
36623,1,112.6,40.1,Head,Open Play,From Throw In
36624,0,84.4,25.4,Right Foot,Open Play,From Throw In
36625,0,98.5,26.2,Right Foot,Open Play,Regular Play
36626,0,89.1,42.5,Right Foot,Open Play,From Goal Kick
36627,0,97.7,54.0,Right Foot,Open Play,Regular Play
40515,0,99.4,48.1,Left Foot,Open Play,From Goal Kick
40516,0,108.2,37.1,Head,Open Play,From Corner
40517,0,100.3,44.0,Right Foot,Open Play,From Free Kick
40518,0,103.5,44.5,Right Foot,Open Play,From Free Kick
40519,0,111.1,33.6,Right Foot,Open Play,From Free Kick
40520,0,106.0,37.2,Head,Open Play,Regular Play
40521,0,115.3,48.6,Head,Open Play,From Free Kick
40522,0,95.3,24.8,Right Foot,Free Kick,From Free Kick
40523,1,115.3,47.6,Right Foot,Open Play,From Corner
40524,0,109.2,37.9,Right Foot,Open Play,From Throw In
40525,1,116.2,40.8,Head,Open Play,From Throw In
40526,0,100.1,37.4,Right Foot,Open Play,Regular Play
40527,0,100.1,56.9,Left Foot,Open Play,From Throw In
40528,0,103.8,47.4,Right Foot,Open Play,Regular Play
40529,0,101.3,45.6,Right Foot,Open Play,From Counter
40530,0,99.3,57.9,Right Foot,Open Play,From Free Kick
40531,0,99.1,38.8,Right Foot,Open Play,From Free Kick
40532,0,99.2,32.9,Left Foot,Open Play,From Counter
44027,0,95.6,48.1,Right Foot,Open Play,From Free Kick
44028,0,115.5,50.5,Right Foot,Open Play,From Corner
44029,0,82.2,53.0,Right Foot,Open Play,From Corner
44030,0,106.9,21.5,Left Foot,Open Play,From Free Kick
44031,0,90.8,38.4,Right Foot,Open Play,Regular Play
44032,0,113.9,37.0,Head,Open Play,From Corner
44033,0,89.4,21.2,Right Foot,Open Play,Regular Play
44034,0,110.0,54.2,Right Foot,Open Play,From Throw In
44035,0,113.3,42.2,Head,Open Play,From Corner
44036,0,101.7,25.9,Left Foot,Open Play,From Free Kick
44037,0,105.6,55.5,Right Foot,Open Play,Regular Play
44038,0,107.4,31.8,Left Foot,Open Play,Regular Play
44039,0,87.3,45.6,Right Foot,Open Play,Regular Play
44040,0,101.3,51.5,Right Foot,Open Play,From Free Kick
44041,0,92.2,35.8,Right Foot,Open Play,Regular Play
44042,0,94.8,53.6,Right Foot,Open Play,From Corner
44043,0,94.0,33.1,Right Foot,Free Kick,From Free Kick
44044,0,96.9,49.4,Left Foot,Open Play,From Corner
44045,0,115.0,30.6,Head,Open Play,From Throw In
44046,0,109.7,41.6,Head,Open Play,Regular Play
44047,0,105.7,37.9,Left Foot,Open Play,Regular Play
44048,0,108.3,49.1,Left Foot,Open Play,From Free Kick
